# Created At: Sun Aug 25 2024 14:56:20 GMT-0400 (Eastern Daylight Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=GRIA1%2CGRIA2%2CGRIA3%2CGRIA4%2CGRIK1%2CGRIK2%2CGRIK3%2CGRIK4%2CGRIK5%2CGRIN1%2CGRIN2A%2CGRIN2B%2CGRIN2C%2CGRIN2D%2CGRIN3A%2CGRIN3B%2CGRID1%2CGRID2&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
adipose tissue,aggregated,254014,3.00%,GRIA1,2.0109654970136517,0.30555109431605515,7618
adipose tissue,aggregated,254014,0.25%,GRIA2,1.9049945867861422,0.2535414240279056,626
adipose tissue,aggregated,254014,2.28%,GRIA3,1.899969237355678,0.2510750229523646,5803
adipose tissue,aggregated,254014,2.89%,GRIA4,2.131177724015708,0.36455028831710945,7353
adipose tissue,aggregated,254014,2.86%,GRIK1,1.9665829203771834,0.28376848272533184,7271
adipose tissue,aggregated,254014,4.26%,GRIK2,1.9604058791100951,0.2807368405608187,10827
adipose tissue,aggregated,254014,0.23%,GRIK3,1.9414307921082823,0.2714240204997804,572
adipose tissue,aggregated,254014,0.90%,GRIK4,1.9147495997975044,0.25832910594257735,2284
adipose tissue,aggregated,254014,0.73%,GRIK5,1.8200505917284366,0.21185159456032204,1855
adipose tissue,aggregated,254014,0.03%,GRIN1,1.8633767061455304,0.23311570299217285,86
adipose tissue,aggregated,254014,1.75%,GRIN2A,2.046461086895388,0.3229720442962814,4445
adipose tissue,aggregated,254014,4.06%,GRIN2B,1.9046687724427407,0.25338151696908084,10304
adipose tissue,aggregated,254014,0.39%,GRIN2C,1.8052803952602055,0.20460250094817264,986
adipose tissue,aggregated,254014,0.59%,GRIN2D,1.843920751659569,0.22356687703811012,1497
