names	A_loading	corrs	color
Ubb	1	-0.775566734329481	Blue
Ier2	1	-0.7852613185086	Blue
Zfp36	1	-0.710936173135358	Blue
Junb	1	-0.7852613185086	Blue
H3f3b	1	-0.491192265075338	Blue
Nfkbia	1	-0.491192265075338	Blue
Rgs1	1	-0.775566734329481	Blue
Gm20594	1	-0.685083948657708	Blue
Tspo	1	-0.581675050747111	Blue
Calm2	1	-0.723862285374183	Blue
Rbfa	1	-0.63337949970241	Blue
Cd47	1	-0.552591298209755	Blue
Arpc5	1	-0.623684915523291	Blue
Srsf7	1	-0.782029790448894	Blue
Vps28	1	-0.536433657911225	Blue
Rab19	1	-0.756177565971244	Blue
Stk17b	1	-0.685083948657708	Blue
Cd69	1	-0.698010060896533	Blue
Cox8a	1	-0.588138106866523	Blue
Eif1	1	-0.714167701195064	Blue
Ywhab	0.0315238605403568	-0.930680081195377	Blue
Hs2st1	0.0426855331595242	-0.904827856717728	Blue
Ms4a2	0.0219811603032729	-0.891901744478904	Blue
Gvin1	0.0356589703809388	0.878975632240079	Red
Ppp2cb	0.00855590201920439	0.866049520001254	Red
G6pdx	0.00946104838861106	0.859586463881842	Red
Gm10123	0.0177510666737742	-0.853123407762429	Blue
Slc45a3	0.0575270861551465	-0.840197295523605	Blue
Cd48	0.0138930321856577	-0.817576599105661	Blue
Ndufa1	1	-0.807882014926543	Blue
Ftl1	0.0561350317233063	0.794955902687718	Red
Fgl2	0.0155422089121357	0.788492846568306	Red
Cd274	0.0702436109208139	0.782029790448894	Red
Mrgpra4	0.0457082769570649	-0.782029790448894	Blue
Sdhd	0.0310929357812269	-0.782029790448894	Blue
Egr1	0.0256732607611448	-0.782029790448894	Blue
Serinc3	0.00844976833127697	-0.778798262389187	Blue
